question,answer,final_score,failure_type,semantic_similarity,faithfulness,answer_relevance,context_recall,graph_score
What is acute lymphoblastic leukemia and how common is it in adults in the United States?,Dummy answer for: What is acute lymphoblastic leukemia and how common is it in adults in the United States?,0.6953042680097212,hallucination,0.747522522801321,0.5647798393348055,0.727834927658865,0.756204356962504,0
What are the four classic subtypes of melanoma and what percentage of cases does each represent?,Dummy answer for: What are the four classic subtypes of melanoma and what percentage of cases does each represent?,0.8075110553165843,graph_reasoning_failure,0.7805453189229522,0.8895529239500489,0.9062883429811375,0.761423501874629,0
What is the Breslow staging system and why is it preferred over Clark levels for melanoma prognosis?,Dummy answer for: What is the Breslow staging system and why is it preferred over Clark levels for melanoma prognosis?,0.8102660190220494,graph_reasoning_failure,0.7768265460514171,0.8976554967095918,0.8542864148904781,0.7674625052953501,0
What is the Philadelphia chromosome and how does it affect prognosis and treatment of ALL?,Dummy answer for: What is the Philadelphia chromosome and how does it affect prognosis and treatment of ALL?,0.7606559949296916,graph_reasoning_failure,0.7319503246222352,0.7973623104349126,0.6062007759534755,0.762223906501079,0
What are the ABCDE criteria used for clinical diagnosis of melanoma?,Dummy answer for: What are the ABCDE criteria used for clinical diagnosis of melanoma?,0.7877920892078594,graph_reasoning_failure,0.7532627033599316,0.857745436629984,0.7182086202987735,0.7638779229163051,0
What is the standard chemotherapy protocol for osteosarcoma and what survival rates does it achieve?,Dummy answer for: What is the standard chemotherapy protocol for osteosarcoma and what survival rates does it achieve?,0.8272684110832811,graph_reasoning_failure,0.7709205431582858,0.9586031902171737,0.5099096279597328,0.771064122516049,0
What mechanisms of resistance to ALK tyrosine kinase inhibitors are seen in NSCLC?,Dummy answer for: What mechanisms of resistance to ALK tyrosine kinase inhibitors are seen in NSCLC?,0.8225032563932866,graph_reasoning_failure,0.7738932284555771,0.9443439701708226,0.632141377952955,0.765475913199363,0
What is the five-year survival rate for melanoma by stage?,Dummy answer for: What is the five-year survival rate for melanoma by stage?,0.7621438421559557,graph_reasoning_failure,0.7524696437980662,0.7701289891475827,0.840487913175253,0.767057626308181,0
What are the topical drug delivery systems investigated for breast cancer treatment?,Dummy answer for: What are the topical drug delivery systems investigated for breast cancer treatment?,0.7148186688299,hallucination,0.7648256420335486,0.5989202410571436,0.5544275368432741,0.7640411323311247,0
What eating side effects does cisplatin cause and how frequently do they occur?,Dummy answer for: What eating side effects does cisplatin cause and how frequently do they occur?,0.8291477068722644,success,0.7461558026201305,0.7515336268961257,0.529464618503624,0.7749712035349998,1.0
What foods help relieve chemotherapy-induced nausea?,Dummy answer for: What foods help relieve chemotherapy-induced nausea?,0.8707011592159177,success,0.7582607826149025,0.9517391678638916,0.6578776782657052,0.7643754542933432,1.0
What foods should cancer patients avoid during chemotherapy-induced diarrhea?,Dummy answer for: What foods should cancer patients avoid during chemotherapy-induced diarrhea?,0.8041297806399066,success,0.7411176026638777,0.6423012492786866,0.6302499011839022,0.7666712499250293,1.0
What is the drug interaction between warfarin and capecitabine and how should it be managed?,Dummy answer for: What is the drug interaction between warfarin and capecitabine and how should it be managed?,0.8225119204202103,success,0.7323111969885654,0.7381128291372578,0.9496166483561925,0.7759799774809456,1.0
